"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","SOURCE","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySkyConditions","HourlySeaLevelPressure","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","Sunrise","Sunset","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","AWND","CDSD","CLDD","DSNW","HDSD","HTDD","DYTS","DYHF","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","REM","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","WindEquipmentChangeDate"
"02493099999","2005-01-01T04:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","29","34","","","","","79","","","","8.08","","240","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN042AAXX  01031 02493 35963 /2407 10013 21019;","","","","","","","","","",""
"02493099999","2005-01-01T07:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","30","35","","","","","84","","","","18.64","","220","","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN058AAXX  01061 02493 35/80 /2205 10014 21010 333 10016 20009;","","","","","","","","","",""
"02493099999","2005-01-01T10:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","30","34","","","","","85","","","","18.64","","230","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN042AAXX  01091 02493 35980 /2308 10011 21011;","","","","","","","","","",""
"02493099999","2005-01-01T13:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","28","31","","","","","91","BKN:07 4","","","8.08","","250","","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN058AAXX  01121 02493 37263 /2510 11007 21020 70010 333 87/04;","","","","","","","","","",""
"02493099999","2005-01-01T19:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","33","36","","","","","87","OVC:08 16","","","13.05","","220","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  01181 02493 35/71 /2208 10025 20005 333 10025 21013 88/16;","","","","","","","","","",""
"02493099999","2005-01-01T22:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","33","37","","","","","86","OVC:08 18","","","18.64","","210","","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN052AAXX  01211 02493 35/80 /2111 10030 20008 333 88/18;","","","","","","","","","",""
"02493099999","2005-01-02T01:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","35","38","","","","","90","FEW:01 6 SCT:03 12 BKN:05 17","","","7.46","","210","","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  02001 02493 37/62 /2114 10031 20016 70010 333 81/06 83/12 85/17 88/20;","","","","","","","","","",""
"02493099999","2005-01-02T04:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","36","38","","|SHRA |","","","90","BKN:05 7","","","7.46","","200","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN064AAXX  02031 02493 47262 /2013 10036 20021 78180 333 85/07 88/14;","","","","","","","","","",""
"02493099999","2005-01-02T07:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","35","39","","","","","84","FEW:01 30","","","11.18","","180","","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN076AAXX  02061 02493 47/68 /1815 10039 20014 70086 333 10040 20024 81/30 88/37;","","","","","","","","","",""
"02493099999","2005-01-02T10:00:00","59.75","19.4166666","15.0","SODERARM, SW","FM-12","4","","34","37","","|RA |","","","88","FEW:01 8 BKN:05 10","","","4.97","","200","","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN070AAXX  02091 02493 47/58 /2018 10029 20011 76160 333 81/08 85/10 88/24;","","","","","","","","","",""
